app,approach,run,time_min,coverage_pct
AnyMemo,Dynodroid,3,45,47.46
AnyMemo,Dynodroid,3,50,50.56
AnyMemo,Dynodroid,3,55,48.13
AnyMemo,Dynodroid,3,60,51.05
AnyMemo,Dynodroid,4,0,0.69
AnyMemo,Dynodroid,4,5,7.37
AnyMemo,Dynodroid,4,10,15.62
AnyMemo,Dynodroid,4,15,22.91
AnyMemo,Dynodroid,4,20,22.65
AnyMemo,Dynodroid,4,25,25.43
AnyMemo,Dynodroid,4,30,28.17
AnyMemo,Dynodroid,4,35,29.56
AnyMemo,Dynodroid,4,40,28.61
AnyMemo,Dynodroid,4,45,28.5
AnyMemo,Dynodroid,4,50,31.8
AnyMemo,Dynodroid,4,55,32.46
AnyMemo,Dynodroid,4,60,31.44
AnyMemo,Dynodroid,5,0,0.13
AnyMemo,Dynodroid,5,5,9.33
AnyMemo,Dynodroid,5,10,16.37
AnyMemo,Dynodroid,5,15,23.14
AnyMemo,Dynodroid,5,20,26.16
AnyMemo,Dynodroid,5,25,29.76
AnyMemo,Dynodroid,5,30,30.06
AnyMemo,Dynodroid,5,35,27.79
AnyMemo,Dynodroid,5,40,32.26
AnyMemo,Dynodroid,5,45,29.62
AnyMemo,Dynodroid,5,50,30.83
AnyMemo,Dynodroid,5,55,31.97
AnyMemo,Dynodroid,5,60,34.72
AnyMemo,Dynodroid,6,0,4.66
AnyMemo,Dynodroid,6,5,15.06
AnyMemo,Dynodroid,6,10,23.35
AnyMemo,Dynodroid,6,15,30.79
AnyMemo,Dynodroid,6,20,35.58
AnyMemo,Dynodroid,6,25,36.62
AnyMemo,Dynodroid,6,30,41.71
AnyMemo,Dynodroid,6,35,40.65
AnyMemo,Dynodroid,6,40,41.91
AnyMemo,Dynodroid,6,45,42.74
AnyMemo,Dynodroid,6,50,42.76
AnyMemo,Dynodroid,6,55,43.64
AnyMemo,Dynodroid,6,60,41.63
AnyMemo,Dynodroid,7,0,0.0
AnyMemo,Dynodroid,7,5,11.1
AnyMemo,Dynodroid,7,10,21.96
AnyMemo,Dynodroid,7,15,28.2
AnyMemo,Dynodroid,7,20,31.56
AnyMemo,Dynodroid,7,25,35.96
AnyMemo,Dynodroid,7,30,35.16
AnyMemo,Dynodroid,7,35,37.33
AnyMemo,Dynodroid,7,40,35.47
AnyMemo,Dynodroid,7,45,37.04
AnyMemo,Dynodroid,7,50,39.01
AnyMemo,Dynodroid,7,55,39.48
AnyMemo,Dynodroid,7,60,37.92
AnyMemo,Dynodroid,8,0,0.0
AnyMemo,Dynodroid,8,5,14.59
AnyMemo,Dynodroid,8,10,27.63
AnyMemo,Dynodroid,8,15,37.08
AnyMemo,Dynodroid,8,20,41.69
AnyMemo,Dynodroid,8,25,44.98
AnyMemo,Dynodroid,8,30,46.58
AnyMemo,Dynodroid,8,35,48.05
AnyMemo,Dynodroid,8,40,48.07
AnyMemo,Dynodroid,8,45,50.8
AnyMemo,Dynodroid,8,50,50.84
AnyMemo,Dynodroid,8,55,51.26
AnyMemo,Dynodroid,8,60,49.94
AnyMemo,Dynodroid,9,0,0.0
AnyMemo,Dynodroid,9,5,14.72
AnyMemo,Dynodroid,9,10,21.12
AnyMemo,Dynodroid,9,15,26.42
AnyMemo,Dynodroid,9,20,32.69
AnyMemo,Dynodroid,9,25,33.7
AnyMemo,Dynodroid,9,30,37.65
AnyMemo,Dynodroid,9,35,38.17
AnyMemo,Dynodroid,9,40,39.07
AnyMemo,Dynodroid,9,45,36.53
AnyMemo,Dynodroid,9,50,40.75
AnyMemo,Dynodroid,9,55,39.56
AnyMemo,Dynodroid,9,60,38.78
AnyMemo,Dynodroid,10,0,0.22
AnyMemo,Dynodroid,10,5,8.85
AnyMemo,Dynodroid,10,10,19.84
AnyMemo,Dynodroid,10,15,22.86
AnyMemo,Dynodroid,10,20,25.84
AnyMemo,Dynodroid,10,25,27.91
AnyMemo,Dynodroid,10,30,33.42
AnyMemo,Dynodroid,10,35,31.85
AnyMemo,Dynodroid,10,40,35.8
AnyMemo,Dynodroid,10,45,33.16
AnyMemo,Dynodroid,10,50,31.72
AnyMemo,Dynodroid,10,55,32.82
AnyMemo,Dynodroid,10,60,36.49
AnyMemo,Ad-hoc,1,0,0.0
AnyMemo,Ad-hoc,1,5,13.39
AnyMemo,Ad-hoc,1,10,25.53
AnyMemo,Ad-hoc,1,15,34.66
AnyMemo,Ad-hoc,1,20,42.3
AnyMemo,Ad-hoc,1,25,48.03
AnyMemo,Ad-hoc,1,30,49.39
AnyMemo,Ad-hoc,1,35,51.11
AnyMemo,Ad-hoc,1,40,54.95
AnyMemo,Ad-hoc,1,45,57.89
AnyMemo,Ad-hoc,1,50,57.55
AnyMemo,Ad-hoc,1,55,58.73
AnyMemo,Ad-hoc,1,60,61.59
AnyMemo,Ad-hoc,2,0,0.0
AnyMemo,Ad-hoc,2,5,11.24
AnyMemo,Ad-hoc,2,10,18.76
AnyMemo,Ad-hoc,2,15,26.34
AnyMemo,Ad-hoc,2,20,30.58
AnyMemo,Ad-hoc,2,25,37.42
AnyMemo,Ad-hoc,2,30,40.84
AnyMemo,Ad-hoc,2,35,39.01
AnyMemo,Ad-hoc,2,40,42.33
AnyMemo,Ad-hoc,2,45,43.0
AnyMemo,Ad-hoc,2,50,45.44
AnyMemo,Ad-hoc,2,55,47.21
AnyMemo,Ad-hoc,2,60,45.88
AnyMemo,Ad-hoc,3,0,0.0
AnyMemo,Ad-hoc,3,5,10.21
AnyMemo,Ad-hoc,3,10,21.15
AnyMemo,Ad-hoc,3,15,28.04
AnyMemo,Ad-hoc,3,20,32.39
AnyMemo,Ad-hoc,3,25,38.04
AnyMemo,Ad-hoc,3,30,40.32
AnyMemo,Ad-hoc,3,35,43.34
AnyMemo,Ad-hoc,3,40,48.29
AnyMemo,Ad-hoc,3,45,49.38
AnyMemo,Ad-hoc,3,50,46.65
AnyMemo,Ad-hoc,3,55,50.81
AnyMemo,Ad-hoc,3,60,51.53
AnyMemo,Ad-hoc,4,0,0.0
AnyMemo,Ad-hoc,4,5,10.27
AnyMemo,Ad-hoc,4,10,18.38
AnyMemo,Ad-hoc,4,15,19.88
AnyMemo,Ad-hoc,4,20,24.45
AnyMemo,Ad-hoc,4,25,30.68
AnyMemo,Ad-hoc,4,30,32.15
AnyMemo,Ad-hoc,4,35,34.59
AnyMemo,Ad-hoc,4,40,35.84
AnyMemo,Ad-hoc,4,45,37.14
AnyMemo,Ad-hoc,4,50,35.52
AnyMemo,Ad-hoc,4,55,39.82
AnyMemo,Ad-hoc,4,60,40.58
AnyMemo,Ad-hoc,5,0,0.0
AnyMemo,Ad-hoc,5,5,10.55
AnyMemo,Ad-hoc,5,10,16.59
AnyMemo,Ad-hoc,5,15,26.09
AnyMemo,Ad-hoc,5,20,31.19
AnyMemo,Ad-hoc,5,25,34.15
AnyMemo,Ad-hoc,5,30,38.97
AnyMemo,Ad-hoc,5,35,39.15
AnyMemo,Ad-hoc,5,40,42.34
AnyMemo,Ad-hoc,5,45,41.4
AnyMemo,Ad-hoc,5,50,44.02
AnyMemo,Ad-hoc,5,55,44.66
AnyMemo,Ad-hoc,5,60,45.94
AnyMemo,Ad-hoc,6,0,0.0
AnyMemo,Ad-hoc,6,5,11.59
AnyMemo,Ad-hoc,6,10,22.21
AnyMemo,Ad-hoc,6,15,27.47
AnyMemo,Ad-hoc,6,20,31.28
AnyMemo,Ad-hoc,6,25,40.65
AnyMemo,Ad-hoc,6,30,43.48
AnyMemo,Ad-hoc,6,35,42.1
AnyMemo,Ad-hoc,6,40,47.12
AnyMemo,Ad-hoc,6,45,46.93
AnyMemo,Ad-hoc,6,50,49.32
AnyMemo,Ad-hoc,6,55,50.33
AnyMemo,Ad-hoc,6,60,50.29
AnyMemo,Ad-hoc,7,0,0.0
AnyMemo,Ad-hoc,7,5,8.49
AnyMemo,Ad-hoc,7,10,15.58
AnyMemo,Ad-hoc,7,15,21.48
AnyMemo,Ad-hoc,7,20,27.13
AnyMemo,Ad-hoc,7,25,29.66
AnyMemo,Ad-hoc,7,30,34.49
AnyMemo,Ad-hoc,7,35,37.82
AnyMemo,Ad-hoc,7,40,36.38
AnyMemo,Ad-hoc,7,45,38.9
AnyMemo,Ad-hoc,7,50,40.29
AnyMemo,Ad-hoc,7,55,41.03
AnyMemo,Ad-hoc,7,60,41.05
AnyMemo,Ad-hoc,8,0,1.11
AnyMemo,Ad-hoc,8,5,12.99
AnyMemo,Ad-hoc,8,10,19.96
AnyMemo,Ad-hoc,8,15,30.56
AnyMemo,Ad-hoc,8,20,36.38
AnyMemo,Ad-hoc,8,25,38.41
AnyMemo,Ad-hoc,8,30,43.13
AnyMemo,Ad-hoc,8,35,46.83
AnyMemo,Ad-hoc,8,40,47.62
AnyMemo,Ad-hoc,8,45,51.21
AnyMemo,Ad-hoc,8,50,54.44
AnyMemo,Ad-hoc,8,55,50.72
AnyMemo,Ad-hoc,8,60,50.61
AnyMemo,Ad-hoc,9,0,0.46
AnyMemo,Ad-hoc,9,5,11.6
AnyMemo,Ad-hoc,9,10,18.36
AnyMemo,Ad-hoc,9,15,27.26
AnyMemo,Ad-hoc,9,20,28.04
AnyMemo,Ad-hoc,9,25,34.95
AnyMemo,Ad-hoc,9,30,36.02
AnyMemo,Ad-hoc,9,35,41.85
AnyMemo,Ad-hoc,9,40,44.09
AnyMemo,Ad-hoc,9,45,41.37
AnyMemo,Ad-hoc,9,50,42.8
AnyMemo,Ad-hoc,9,55,45.78
AnyMemo,Ad-hoc,9,60,44.58
AnyMemo,Ad-hoc,10,0,0.0
AnyMemo,Ad-hoc,10,5,11.11
AnyMemo,Ad-hoc,10,10,16.81
AnyMemo,Ad-hoc,10,15,26.38
AnyMemo,Ad-hoc,10,20,30.6
AnyMemo,Ad-hoc,10,25,34.96
AnyMemo,Ad-hoc,10,30,41.04
AnyMemo,Ad-hoc,10,35,39.46
AnyMemo,Ad-hoc,10,40,44.49
AnyMemo,Ad-hoc,10,45,44.35
AnyMemo,Ad-hoc,10,50,45.51
AnyMemo,Ad-hoc,10,55,48.03
AnyMemo,Ad-hoc,10,60,48.06
AnyMemo,SMATA,1,0,0.86
AnyMemo,SMATA,1,5,18.29
AnyMemo,SMATA,1,10,28.82
AnyMemo,SMATA,1,15,37.64
AnyMemo,SMATA,1,20,43.77
AnyMemo,SMATA,1,25,49.24
AnyMemo,SMATA,1,30,58.65
AnyMemo,SMATA,1,35,58.88
AnyMemo,SMATA,1,40,57.05
AnyMemo,SMATA,1,45,58.62
AnyMemo,SMATA,1,50,62.46
AnyMemo,SMATA,1,55,63.39
AnyMemo,SMATA,1,60,64.02
AnyMemo,SMATA,2,0,0.0
AnyMemo,SMATA,2,5,20.59
AnyMemo,SMATA,2,10,36.67
AnyMemo,SMATA,2,15,47.71
AnyMemo,SMATA,2,20,52.7
AnyMemo,SMATA,2,25,61.94
AnyMemo,SMATA,2,30,65.65
AnyMemo,SMATA,2,35,70.62
AnyMemo,SMATA,2,40,77.38
AnyMemo,SMATA,2,45,75.34
AnyMemo,SMATA,2,50,75.72
AnyMemo,SMATA,2,55,78.61
AnyMemo,SMATA,2,60,78.71
AnyMemo,SMATA,3,0,0.63
AnyMemo,SMATA,3,5,18.7
AnyMemo,SMATA,3,10,34.05
AnyMemo,SMATA,3,15,39.02
AnyMemo,SMATA,3,20,48.66
AnyMemo,SMATA,3,25,51.92
AnyMemo,SMATA,3,30,58.11
AnyMemo,SMATA,3,35,58.84
AnyMemo,SMATA,3,40,61.77
AnyMemo,SMATA,3,45,63.57
AnyMemo,SMATA,3,50,66.67
AnyMemo,SMATA,3,55,67.47
AnyMemo,SMATA,3,60,64.88
AnyMemo,SMATA,4,0,0.08
AnyMemo,SMATA,4,5,15.04
AnyMemo,SMATA,4,10,26.15
AnyMemo,SMATA,4,15,36.55
AnyMemo,SMATA,4,20,42.96
AnyMemo,SMATA,4,25,51.91
AnyMemo,SMATA,4,30,52.52
AnyMemo,SMATA,4,35,52.46
AnyMemo,SMATA,4,40,55.66
AnyMemo,SMATA,4,45,59.5
AnyMemo,SMATA,4,50,62.18
AnyMemo,SMATA,4,55,57.47
AnyMemo,SMATA,4,60,57.62
AnyMemo,SMATA,5,0,2.81
AnyMemo,SMATA,5,5,19.71
AnyMemo,SMATA,5,10,32.0
AnyMemo,SMATA,5,15,44.6
AnyMemo,SMATA,5,20,47.62
AnyMemo,SMATA,5,25,57.34
AnyMemo,SMATA,5,30,62.09
AnyMemo,SMATA,5,35,66.15
AnyMemo,SMATA,5,40,65.58
AnyMemo,SMATA,5,45,68.97
AnyMemo,SMATA,5,50,68.74
AnyMemo,SMATA,5,55,71.46
AnyMemo,SMATA,5,60,70.44
AnyMemo,SMATA,6,0,0.0
AnyMemo,SMATA,6,5,14.35
AnyMemo,SMATA,6,10,28.56
AnyMemo,SMATA,6,15,37.56
AnyMemo,SMATA,6,20,42.37
AnyMemo,SMATA,6,25,47.55
AnyMemo,SMATA,6,30,48.85
AnyMemo,SMATA,6,35,53.19
AnyMemo,SMATA,6,40,55.51
AnyMemo,SMATA,6,45,60.95
AnyMemo,SMATA,6,50,56.42
AnyMemo,SMATA,6,55,61.07
AnyMemo,SMATA,6,60,60.95
AnyMemo,SMATA,7,0,0.42
AnyMemo,SMATA,7,5,20.78
AnyMemo,SMATA,7,10,32.14
AnyMemo,SMATA,7,15,42.12
AnyMemo,SMATA,7,20,48.83
AnyMemo,SMATA,7,25,56.21
AnyMemo,SMATA,7,30,60.07
AnyMemo,SMATA,7,35,60.48
AnyMemo,SMATA,7,40,61.66
AnyMemo,SMATA,7,45,64.98
AnyMemo,SMATA,7,50,65.31
AnyMemo,SMATA,7,55,67.31
AnyMemo,SMATA,7,60,69.93
AnyMemo,SMATA,8,0,0.0
AnyMemo,SMATA,8,5,14.59
AnyMemo,SMATA,8,10,25.6
AnyMemo,SMATA,8,15,34.83
AnyMemo,SMATA,8,20,36.15
AnyMemo,SMATA,8,25,43.02
AnyMemo,SMATA,8,30,47.52
AnyMemo,SMATA,8,35,51.43
AnyMemo,SMATA,8,40,50.68
AnyMemo,SMATA,8,45,49.93
AnyMemo,SMATA,8,50,54.66
AnyMemo,SMATA,8,55,53.51
AnyMemo,SMATA,8,60,53.22
AnyMemo,SMATA,9,0,0.0
AnyMemo,SMATA,9,5,15.4
AnyMemo,SMATA,9,10,26.38
AnyMemo,SMATA,9,15,32.58
AnyMemo,SMATA,9,20,43.6
AnyMemo,SMATA,9,25,48.89
AnyMemo,SMATA,9,30,51.45
AnyMemo,SMATA,9,35,51.36
AnyMemo,SMATA,9,40,54.68
AnyMemo,SMATA,9,45,56.4
AnyMemo,SMATA,9,50,58.36
AnyMemo,SMATA,9,55,59.24
AnyMemo,SMATA,9,60,57.72
AnyMemo,SMATA,10,0,0.12
AnyMemo,SMATA,10,5,18.81
AnyMemo,SMATA,10,10,33.73
AnyMemo,SMATA,10,15,42.55
AnyMemo,SMATA,10,20,50.04
AnyMemo,SMATA,10,25,54.44
AnyMemo,SMATA,10,30,60.48
AnyMemo,SMATA,10,35,61.97
AnyMemo,SMATA,10,40,62.29
AnyMemo,SMATA,10,45,67.33
AnyMemo,SMATA,10,50,67.49
AnyMemo,SMATA,10,55,66.68
AnyMemo,SMATA,10,60,67.29
K-9 Mail,Monkey,1,0,0.44
K-9 Mail,Monkey,1,5,21.12
K-9 Mail,Monkey,1,10,31.94
K-9 Mail,Monkey,1,15,38.26
K-9 Mail,Monkey,1,20,43.72
K-9 Mail,Monkey,1,25,44.63
K-9 Mail,Monkey,1,30,44.33
K-9 Mail,Monkey,1,35,46.01
K-9 Mail,Monkey,1,40,43.36
K-9 Mail,Monkey,1,45,45.67
K-9 Mail,Monkey,1,50,47.88
K-9 Mail,Monkey,1,55,44.89
K-9 Mail,Monkey,1,60,43.97
K-9 Mail,Monkey,2,0,0.0
K-9 Mail,Monkey,2,5,15.51
K-9 Mail,Monkey,2,10,25.38
K-9 Mail,Monkey,2,15,31.16
K-9 Mail,Monkey,2,20,32.44
K-9 Mail,Monkey,2,25,36.13
K-9 Mail,Monkey,2,30,38.32
K-9 Mail,Monkey,2,35,36.07
K-9 Mail,Monkey,2,40,39.97
K-9 Mail,Monkey,2,45,38.59
K-9 Mail,Monkey,2,50,39.45
K-9 Mail,Monkey,2,55,36.96
K-9 Mail,Monkey,2,60,39.25
K-9 Mail,Monkey,3,0,0.0
K-9 Mail,Monkey,3,5,16.82
K-9 Mail,Monkey,3,10,24.24
K-9 Mail,Monkey,3,15,29.48
K-9 Mail,Monkey,3,20,29.44
K-9 Mail,Monkey,3,25,31.27
K-9 Mail,Monkey,3,30,34.28
K-9 Mail,Monkey,3,35,32.38
K-9 Mail,Monkey,3,40,34.73
K-9 Mail,Monkey,3,45,32.11
K-9 Mail,Monkey,3,50,35.51
K-9 Mail,Monkey,3,55,32.42
K-9 Mail,Monkey,3,60,35.12
K-9 Mail,Monkey,4,0,0.94
K-9 Mail,Monkey,4,5,13.36
K-9 Mail,Monkey,4,10,23.19
K-9 Mail,Monkey,4,15,27.04
K-9 Mail,Monkey,4,20,28.23
K-9 Mail,Monkey,4,25,28.83
K-9 Mail,Monkey,4,30,28.11
K-9 Mail,Monkey,4,35,31.98
K-9 Mail,Monkey,4,40,29.32
K-9 Mail,Monkey,4,45,31.93
K-9 Mail,Monkey,4,50,31.46
K-9 Mail,Monkey,4,55,32.91
K-9 Mail,Monkey,4,60,31.45
K-9 Mail,Monkey,5,0,0.0
K-9 Mail,Monkey,5,5,8.69
K-9 Mail,Monkey,5,10,12.26
K-9 Mail,Monkey,5,15,14.51
K-9 Mail,Monkey,5,20,16.0
K-9 Mail,Monkey,5,25,13.68
K-9 Mail,Monkey,5,30,17.5
K-9 Mail,Monkey,5,35,17.49
K-9 Mail,Monkey,5,40,15.16
K-9 Mail,Monkey,5,45,16.38
K-9 Mail,Monkey,5,50,16.72
K-9 Mail,Monkey,5,55,16.6
K-9 Mail,Monkey,5,60,17.31
K-9 Mail,Monkey,6,0,2.15
K-9 Mail,Monkey,6,5,13.61
K-9 Mail,Monkey,6,10,16.59
K-9 Mail,Monkey,6,15,23.1
K-9 Mail,Monkey,6,20,26.14
K-9 Mail,Monkey,6,25,25.82
K-9 Mail,Monkey,6,30,27.47
K-9 Mail,Monkey,6,35,29.18
K-9 Mail,Monkey,6,40,27.88
K-9 Mail,Monkey,6,45,26.81
K-9 Mail,Monkey,6,50,28.06
K-9 Mail,Monkey,6,55,26.74
K-9 Mail,Monkey,6,60,26.58
K-9 Mail,Monkey,7,0,0.0
K-9 Mail,Monkey,7,5,15.83
K-9 Mail,Monkey,7,10,19.66
K-9 Mail,Monkey,7,15,27.25
K-9 Mail,Monkey,7,20,27.93
K-9 Mail,Monkey,7,25,26.3
K-9 Mail,Monkey,7,30,29.62
K-9 Mail,Monkey,7,35,26.29
K-9 Mail,Monkey,7,40,30.58
K-9 Mail,Monkey,7,45,31.08
K-9 Mail,Monkey,7,50,28.93
K-9 Mail,Monkey,7,55,30.03
K-9 Mail,Monkey,7,60,32.8
K-9 Mail,Monkey,8,0,0.0
K-9 Mail,Monkey,8,5,20.69
K-9 Mail,Monkey,8,10,36.72
K-9 Mail,Monkey,8,15,44.15
K-9 Mail,Monkey,8,20,44.9
K-9 Mail,Monkey,8,25,48.43
K-9 Mail,Monkey,8,30,50.03
K-9 Mail,Monkey,8,35,47.52
K-9 Mail,Monkey,8,40,48.24
K-9 Mail,Monkey,8,45,50.99
K-9 Mail,Monkey,8,50,51.78
K-9 Mail,Monkey,8,55,50.15
K-9 Mail,Monkey,8,60,48.01
K-9 Mail,Monkey,9,0,2.98
K-9 Mail,Monkey,9,5,17.35
K-9 Mail,Monkey,9,10,27.6
K-9 Mail,Monkey,9,15,34.08
K-9 Mail,Monkey,9,20,38.89
K-9 Mail,Monkey,9,25,39.49
K-9 Mail,Monkey,9,30,39.73
K-9 Mail,Monkey,9,35,40.3
K-9 Mail,Monkey,9,40,39.94
K-9 Mail,Monkey,9,45,40.87
K-9 Mail,Monkey,9,50,36.32
K-9 Mail,Monkey,9,55,39.71
K-9 Mail,Monkey,9,60,40.54
K-9 Mail,Monkey,10,0,0.0
K-9 Mail,Monkey,10,5,6.52
K-9 Mail,Monkey,10,10,8.89
K-9 Mail,Monkey,10,15,13.62
K-9 Mail,Monkey,10,20,14.33
K-9 Mail,Monkey,10,25,11.81
K-9 Mail,Monkey,10,30,12.57
K-9 Mail,Monkey,10,35,12.85
K-9 Mail,Monkey,10,40,12.37
K-9 Mail,Monkey,10,45,13.39
K-9 Mail,Monkey,10,50,11.99
K-9 Mail,Monkey,10,55,11.45
K-9 Mail,Monkey,10,60,14.08
K-9 Mail,Dynodroid,1,0,0.94
K-9 Mail,Dynodroid,1,5,14.9
K-9 Mail,Dynodroid,1,10,28.25
K-9 Mail,Dynodroid,1,15,33.2
K-9 Mail,Dynodroid,1,20,39.38
K-9 Mail,Dynodroid,1,25,43.48
K-9 Mail,Dynodroid,1,30,44.38
K-9 Mail,Dynodroid,1,35,46.57
